outcome,predictor,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,sig
win_rate,const,0.7724,0.6952,1.111,0.2696,-0.6092,2.154,
win_rate,architecture_moe,0.0712,0.1139,0.625,0.5334,-0.1552,0.2976,
win_rate,size_params,0.0,0.0008,0.001,0.9993,-0.0015,0.0015,
win_rate,family_encoded,0.1245,0.1376,0.905,0.3679,-0.1489,0.3979,
win_rate,version,-0.0798,0.2036,-0.392,0.6962,-0.4843,0.3248,
win_rate,thinking,0.2115,0.1103,1.917,0.0585,-0.0077,0.4308,
win_rate,R_squared,0.1484,,,,,,
win_rate,N,94.0,,,,,,
average_profit,const,1333.2525,3036.3825,0.439,0.6617,-4700.9197,7367.4247,
average_profit,architecture_moe,92.0933,497.5395,0.185,0.8536,-896.662,1080.8486,
average_profit,size_params,0.5577,3.3947,0.164,0.8699,-6.1886,7.3041,
average_profit,family_encoded,178.4879,600.8345,0.297,0.7671,-1015.5445,1372.5203,
average_profit,version,35.245,889.1336,0.04,0.9685,-1731.7213,1802.2113,
average_profit,thinking,277.5438,481.9054,0.576,0.5661,-680.1419,1235.2296,
average_profit,R_squared,0.0131,,,,,,
average_profit,N,94.0,,,,,,
