analysis,feature,PC1,PC2,PC3,PC4
magic_athey_bagwell,cooperation,-1.0140468946039873,0.2154508900767587,0.12657436585795878,0.013335303741823928
magic_athey_bagwell,deception,1.017224615370863,0.10605343217497049,0.21193351478865252,0.00016621048424824661
magic_athey_bagwell,rationality,-0.4434747016116688,0.9447935189708422,0.03792660961483787,-0.012886377821024577
magic_athey_bagwell,reasoning,-0.6600975245235885,-0.802289280756674,0.10666931920262243,-0.011572180032892083
magic_green_porter,cooperation,0.9993158951397069,-0.3037710200631681,,
magic_green_porter,coordination,0.9993158951397066,0.30377102006316814,,
magic_salop,cooperation,-0.9786425727793382,0.3601301788653778,0.05894115644708215,
magic_salop,rationality,0.996180053872379,0.24549742842360195,-0.19561544881045317,
magic_salop,reasoning,1.008330533771674,0.10698781767940668,0.2504640342265151,
magic_spulber,judgment,-0.9136619966832867,0.3894380779693759,0.3369759385718721,-0.002637435844300594
magic_spulber,rationality,1.0322253469306713,0.040325600246407925,0.1773854724936688,0.0376705888833699
magic_spulber,reasoning,0.6560026492032668,0.8097975588536469,-0.11743810496014273,-0.009835111404582556
magic_spulber,self_awareness,-1.0059845051396128,0.21574853053899035,-0.20061942795810636,0.034635128338677545
model_features,architecture_moe,0.4151579021660573,0.9214344762758274,-0.207879947066783,-0.16216485659961474
model_features,version,0.9226169241707368,0.23426286647529654,0.3309524392488811,0.2743692666623114
model_features,thinking,-0.7051997294576969,0.34546635957368976,0.6856074265407953,-0.06479107621341647
model_features,family_encoded,-0.8742898749266614,0.40610433260558104,-0.3024750262754344,0.2647913046692899
perf_athey_bagwell,average_profit,0.9559237709946965,-0.36259173362561153,-0.21364940829018042,
perf_athey_bagwell,productive_efficiency,0.9960745345203105,-0.09591694257553018,0.2992399584216646,
perf_athey_bagwell,win_rate,0.9223732743922334,0.47936176550515497,-0.10172969757068234,
perf_green_porter,average_profit,0.9233954083831847,0.3066258569564421,-0.3797770326542535,
perf_green_porter,reversion_frequency,0.9564366372777616,-0.15293828647209715,0.390829797114903,
perf_green_porter,win_rate,-0.13399836282990088,1.0213641800570012,0.17253620305456677,
perf_salop,average_profit,0.9785242392457025,0.2725343863690497,0.24315511996286576,
perf_salop,market_price,-0.7230293296665965,0.7537411249779894,0.003463505143130811,
perf_salop,win_rate,0.9753050236542189,0.2853419499493725,-0.241390085428181,
perf_spulber,allocative_efficiency,-0.6992320394304741,0.7807627845592321,0.03852310061784109,
perf_spulber,average_profit,0.9358443628160993,0.465044061252481,-0.08904689595447189,
perf_spulber,win_rate,1.0379466047391204,0.1066774441661753,0.10623920470666048,
