game,target,predictor,coef,std_err,p_value,sig
athey_bagwell,average_profit,cooperation,-1564.4922,1139.6705,0.18581482170274943,
athey_bagwell,average_profit,deception,-1850.1918,316.0685,1.2263860037054815e-05,***
athey_bagwell,average_profit,rationality,2040.2395,1147.0067,0.09128586511334982,
athey_bagwell,average_profit,reasoning,-3261.632,1076.1691,0.006876219335834804,**
athey_bagwell,productive_efficiency,cooperation,-0.2379,0.0381,5.360697330370738e-06,***
athey_bagwell,productive_efficiency,deception,-0.008,0.0106,0.46065104287826975,
athey_bagwell,productive_efficiency,rationality,1.4203,0.0383,3.5061534719480204e-19,***
athey_bagwell,productive_efficiency,reasoning,0.6667,0.036,1.265585023328536e-13,***
athey_bagwell,win_rate,cooperation,0.9278,0.261,0.0021124822375167213,**
athey_bagwell,win_rate,deception,-0.0388,0.0724,0.5979714370045428,
athey_bagwell,win_rate,rationality,-0.6521,0.2626,0.02254411840075952,*
athey_bagwell,win_rate,reasoning,-1.2044,0.2464,0.00010217280957829126,***
green_porter,average_profit,cooperation,-270.2815,783.864,0.7336691080644776,
green_porter,average_profit,coordination,164.7457,724.514,0.8223212926318318,
green_porter,reversion_frequency,cooperation,-0.0137,0.0029,0.00013626794365274828,***
green_porter,reversion_frequency,coordination,0.0015,0.0027,0.5760423622942455,
green_porter,win_rate,cooperation,-0.0597,0.0298,0.05817975052664276,
green_porter,win_rate,coordination,0.08,0.0276,0.008504638573839438,**
salop,average_profit,cooperation,632.5424,187.9099,0.0030714943061203905,**
salop,average_profit,rationality,191.0882,254.6836,0.46181243397729255,
salop,average_profit,reasoning,1696.8535,276.1233,5.272871330511992e-06,***
salop,market_price,cooperation,1.5417,0.2904,3.395586104272228e-05,***
salop,market_price,rationality,1.6162,0.3936,0.0005490314761395104,***
salop,market_price,reasoning,-0.9951,0.4268,0.030275870337291517,*
salop,win_rate,cooperation,0.0988,0.0375,0.015934741574513696,*
salop,win_rate,rationality,1.0048,0.0509,1.366120874342405e-14,***
salop,win_rate,reasoning,0.1044,0.0551,0.07298143108467986,
spulber,allocative_efficiency,judgment,0.0364,0.0282,0.2127263602066718,
spulber,allocative_efficiency,rationality,0.9888,0.0961,3.299619007682268e-09,***
spulber,allocative_efficiency,reasoning,-0.4298,0.0728,1.0999897962433802e-05,***
spulber,allocative_efficiency,self_awareness,-0.0104,0.0713,0.8853881965766794,
spulber,average_profit,judgment,91.1569,77.1499,0.25196020615339376,
spulber,average_profit,rationality,59.2318,262.831,0.8241049160903592,
spulber,average_profit,reasoning,1695.7444,199.1508,6.555909908330226e-08,***
spulber,average_profit,self_awareness,435.1174,195.1195,0.03800489300399956,*
spulber,win_rate,judgment,0.0952,0.0716,0.19963276307363428,
spulber,win_rate,rationality,-0.367,0.2441,0.14905464150611059,
spulber,win_rate,reasoning,3.2167,0.1849,3.960118663519929e-13,***
spulber,win_rate,self_awareness,1.036,0.1812,1.6422102006159443e-05,***
