game,target,R2,R2_adj,n_predictors,n_obs
athey_bagwell,average_profit,0.8954,0.8734,4,24
athey_bagwell,productive_efficiency,0.9965,0.9958,4,24
athey_bagwell,win_rate,0.7619,0.7118,4,24
green_porter,average_profit,0.006,-0.0887,2,24
green_porter,reversion_frequency,0.7095,0.6819,2,24
green_porter,win_rate,0.2947,0.2275,2,24
salop,average_profit,0.8543,0.8324,3,24
salop,market_price,0.8019,0.7722,3,24
salop,win_rate,0.9887,0.987,3,24
spulber,allocative_efficiency,0.9867,0.9839,4,24
spulber,average_profit,0.9131,0.8948,4,24
spulber,win_rate,0.9819,0.9781,4,24
