Model,rationality_3P ↑,rationality_5P ↑,rationality_5P_p_value,reasoning_3P ↑,reasoning_5P ↑,reasoning_5P_p_value,deception_3P ↑,deception_5P ↑,deception_5P_p_value,cooperation_3P ↑,cooperation_5P ↑,cooperation_5P_p_value
Q3-14B (TD),0.358 ± 0.026,0.244 ± 0.028,0.0,1.000,1.000,0.4666,1.000,1.000,0.5845,0.575 ± 0.144,0.594 ± 0.142,0.9467
Q3-14B (TE),0.641 ± 0.100,0.569 ± 0.121,0.0,1.000,1.000,0.4666,0.000,0.000,0.5845,1.000,1.000,0.9467
Q3-235B Inst,0.641 ± 0.100,0.569 ± 0.121,0.0,1.000,1.000,0.4666,0.000,0.000,0.5845,1.000,1.000,0.9467
Qwen3-30B-A3B (TD),0.641 ± 0.102,0.553 ± 0.128,0.0,0.997 ± 0.024,1.000,0.4666,0.040 ± 0.198,0.260 ± 0.443,0.5845,0.997 ± 0.015,0.980 ± 0.034,0.9467
Qwen3-30B-A3B (TE),0.641 ± 0.100,0.569 ± 0.121,0.0,1.000,1.000,0.4666,0.000,0.000,0.5845,1.000,1.000,0.9467
Q3-32B (TD),0.564 ± 0.116,0.532 ± 0.111,0.0,1.000,1.000,0.4666,0.560 ± 0.501,0.380 ± 0.490,0.5845,0.885 ± 0.145,0.954 ± 0.068,0.9467
Q3-32B (TE),0.651 ± 0.095,0.591 ± 0.124,0.0,0.970 ± 0.065,0.949 ± 0.094,0.4666,0.240 ± 0.431,0.260 ± 0.443,0.5845,0.978 ± 0.041,0.974 ± 0.048,0.9467
L3.3-70B,0.641 ± 0.100,0.569 ± 0.121,0.0,1.000,1.000,0.4666,0.000,0.000,0.5845,1.000,1.000,0.9467
L4-Maverick,0.777 ± 0.075,0.695 ± 0.119,0.0,0.620 ± 0.132,0.698 ± 0.179,0.4666,1.000,0.920 ± 0.274,0.5845,0.795 ± 0.091,0.843 ± 0.096,0.9467
L4-Scout,0.608 ± 0.037,0.546 ± 0.057,0.0,0.761 ± 0.130,0.744 ± 0.168,0.4666,1.000,1.000,0.5845,0.683 ± 0.107,0.678 ± 0.123,0.9467
L3.1-70B,0.641 ± 0.100,0.569 ± 0.121,0.0,1.000,1.000,0.4666,0.000,0.000,0.5845,1.000,1.000,0.9467
L3.1-8B,0.597 ± 0.080,0.538 ± 0.088,0.0,0.993 ± 0.036,0.886 ± 0.119,0.4666,0.680 ± 0.471,0.920 ± 0.274,0.5845,0.925 ± 0.070,0.829 ± 0.105,0.9467
Random,0.649 ± 0.091,0.605 ± 0.133,0.0,0.556 ± 0.242,0.513 ± 0.216,0.4666,1.000,1.000,0.5845,0.532 ± 0.141,0.528 ± 0.136,0.9467
