Model,rationality ↑,judgment ↑,reasoning ↑,self_awareness ↑
Q3-14B Inst,0.750 ± 0.433,0.600 ± 0.195,1.000,0.217
Q3-14B Think,0.375 ± 0.483,0.956 ± 0.144,1.000,0.760 ± 0.009
Q3-235B Inst,0.400 ± 0.490,0.954 ± 0.151,1.000,0.750 ± 0.001
Q3-30B Inst,0.370 ± 0.482,0.969 ± 0.111,1.000,0.833
Qwen3-30B-A3B (Thinking On),0.388 ± 0.483,0.960 ± 0.131,0.992 ± 0.052,0.772 ± 0.037
Q3-32B Inst,0.420 ± 0.483,0.922 ± 0.159,1.000,0.749 ± 0.143
Q3-32B Think,0.407 ± 0.491,0.913 ± 0.200,0.993 ± 0.045,0.720 ± 0.142
L3.3-70B,0.147 ± 0.237,0.997 ± 0.028,0.667,0.894 ± 0.023
L4-Maverick,0.725 ± 0.443,0.128 ± 0.119,1.000,0.250 ± 0.002
L4-Scout,0.775 ± 0.419,0.770 ± 0.191,1.000,0.199 ± 0.075
L3.1-70B,0.733 ± 0.438,0.138 ± 0.277,0.998 ± 0.017,0.192 ± 0.065
L3.1-8B,0.263 ± 0.359,0.988 ± 0.059,0.818 ± 0.048,0.835 ± 0.009
