Model,salop_market_price_3P ↑,salop_market_price_5P ↑,salop_market_price_5P_p_value,spulber_allocative_efficiency_3P ↑,spulber_allocative_efficiency_5P ↑,spulber_allocative_efficiency_5P_p_value,green_porter_reversion_frequency_3P ↓,green_porter_reversion_frequency_5P ↓,green_porter_reversion_frequency_5P_p_value,athey_bagwell_productive_efficiency_3P ↑,athey_bagwell_productive_efficiency_5P ↑,athey_bagwell_productive_efficiency_5P_p_value
Q3-14B (TD),13.044 ± 0.319,12.680 ± 0.413,0.2528,0.700 ± 0.461,0.740 ± 0.441,0.0079,0.127 ± 0.025,0.125 ± 0.025,0.0036,0.289 ± 0.101,0.129 ± 0.063,0.0
Q3-14B (TE),12.739 ± 1.348,12.420 ± 1.202,0.2528,0.420 ± 0.496,0.280 ± 0.451,0.0079,0.134 ± 0.025,0.134 ± 0.024,0.0036,0.595 ± 0.141,0.497 ± 0.143,0.0
Q3-235B Inst,13.189 ± 0.667,13.320 ± 1.347,0.2528,0.440 ± 0.499,0.320 ± 0.469,0.0079,0.127 ± 0.025,0.125 ± 0.025,0.0036,0.595 ± 0.141,0.497 ± 0.143,0.0
Qwen3-30B-A3B (TD),12.600 ± 0.268,12.680 ± 0.860,0.2528,0.410 ± 0.494,0.290 ± 0.456,0.0079,0.135 ± 0.023,0.126 ± 0.026,0.0036,0.594 ± 0.143,0.483 ± 0.150,0.0
Qwen3-30B-A3B (TE),12.111 ± 0.367,12.568 ± 1.429,0.2528,0.440 ± 0.499,0.300 ± 0.461,0.0079,0.128 ± 0.024,0.126 ± 0.024,0.0036,0.595 ± 0.141,0.497 ± 0.143,0.0
Q3-32B (TD),13.656 ± 0.243,13.020 ± 0.319,0.2528,0.530 ± 0.502,0.290 ± 0.456,0.0079,0.127 ± 0.025,0.125 ± 0.025,0.0036,0.514 ± 0.166,0.457 ± 0.138,0.0
Q3-32B (TE),12.133 ± 0.335,12.340 ± 1.348,0.2528,0.430 ± 0.498,0.340 ± 0.476,0.0079,0.137 ± 0.023,0.135 ± 0.024,0.0036,0.592 ± 0.139,0.497 ± 0.143,0.0
L3.3-70B,13.890 ± 0.119,13.098 ± 0.262,0.2528,0.350 ± 0.479,0.220 ± 0.416,0.0079,0.130 ± 0.025,0.127 ± 0.026,0.0036,0.595 ± 0.141,0.497 ± 0.143,0.0
L4-Maverick,13.256 ± 0.528,13.130 ± 0.843,0.2528,0.650 ± 0.479,0.730 ± 0.446,0.0079,0.127 ± 0.025,0.125 ± 0.025,0.0036,0.595 ± 0.141,0.497 ± 0.143,0.0
L4-Scout,13.467 ± 0.373,13.020 ± 0.545,0.2528,0.740 ± 0.441,0.750 ± 0.435,0.0079,0.127 ± 0.025,0.125 ± 0.025,0.0036,0.466 ± 0.113,0.340 ± 0.112,0.0
L3.1-70B,13.803 ± 0.125,13.283 ± 0.566,0.2528,0.650 ± 0.479,0.700 ± 0.461,0.0079,0.136 ± 0.023,0.130 ± 0.027,0.0036,0.595 ± 0.141,0.497 ± 0.143,0.0
L3.1-8B,11.322 ± 0.955,11.530 ± 0.585,0.2528,0.400 ± 0.492,0.220 ± 0.416,0.0079,0.129 ± 0.025,0.130 ± 0.024,0.0036,0.540 ± 0.139,0.400 ± 0.119,0.0
Random,13.425 ± 1.662,13.791 ± 1.264,0.2528,0.550 ± 0.500,0.370 ± 0.485,0.0079,0.134 ± 0.024,0.131 ± 0.026,0.0036,0.428 ± 0.113,0.300 ± 0.135,0.0
