feature,importance,game,target_metric
rationality,0.9258717442990752,athey_bagwell,average_profit
is_5_player,0.029617376676592633,athey_bagwell,average_profit
reasoning,0.01740227859446198,athey_bagwell,average_profit
deception,0.014589684947011076,athey_bagwell,average_profit
coordination,0.012518915482859246,athey_bagwell,average_profit
is_gen_2_5,0.0,athey_bagwell,average_profit
is_lite,0.0,athey_bagwell,average_profit
is_5_player,0.9325446761302603,green_porter,average_profit
cooperation,0.043401465815060054,green_porter,average_profit
deception,0.024053858054679703,green_porter,average_profit
is_gen_2_5,0.0,green_porter,average_profit
is_lite,0.0,green_porter,average_profit
rationality,0.0,green_porter,average_profit
judgment,0.5678946405634636,salop,average_profit
rationality,0.3937216588401231,salop,average_profit
cooperation,0.034274212253296195,salop,average_profit
reasoning,0.004105624763869843,salop,average_profit
is_5_player,3.863579247121815e-06,salop,average_profit
is_gen_2_5,0.0,salop,average_profit
is_lite,0.0,salop,average_profit
reasoning,0.46053997937823754,salop,market_price
cooperation,0.40559377993555423,salop,market_price
judgment,0.06842218899200082,salop,market_price
rationality,0.05525104563647739,salop,market_price
is_5_player,0.010193006057729914,salop,market_price
is_gen_2_5,0.0,salop,market_price
is_lite,0.0,salop,market_price
rationality,0.7846512007072786,spulber,average_profit
reasoning,0.08638541073148898,spulber,average_profit
self_awareness,0.07317712920565288,spulber,average_profit
judgment,0.05574479345574985,spulber,average_profit
is_5_player,4.146589982976187e-05,spulber,average_profit
is_gen_2_5,0.0,spulber,average_profit
is_lite,0.0,spulber,average_profit
